city,lat,long
Znamianka,48.71699295,32.6747790848135
Lyman,43.9176386,-99.8581638
Selydove,48.14782015,37.3018277428765
Berehove,48.20922795,22.643385042215
Koziatyn,49.7178387,28.8322522
Popasna,48.62995,38.36632
Molodohvardiysk,48.3454419,39.6434678163782
Krolevets,51.5548654,33.3875984
Merefa,49.8182064,36.063052
Volnovakha,47.5974539,37.4918708263709
Zdolbuniv,50.518994,26.2431096
Kreminna,49.0463189,38.2178525
Slavutych,51.5201397,30.7562301
Dokuchaievsk,47.75196025,37.6787719975166
Liubotyn,49.9435,35.91843
Armiansk,46.113261,33.6904091
Vilnohirsk,48.49365,34.02328
Yahotyn,50.2758913,31.7634861
Sukhodilsk,48.35323,39.72484
Zolochiv,50.2790531,35.9824347
Trostianets,48.517372,29.1625731
Brody,50.07648925,25.1545268274931
Polonne,52.215933,19.134422
Hadiach,50.3701607,33.9948388
Krasnohrad,49.3795672,35.4459687
Kilia,-31.7613365,-71.3187697
Starobilsk,49.28055,38.90156
Ladyzhyn,48.6810505,29.2567642
Polohy,47.4776419,36.2622651
Amvrosiivka,47.7952806,38.4798317
Kremenets,50.0962339,25.7258837
Henichesk,46.1738032,34.8068643
Sokal,50.4815285,24.2855287
Kurakhove,47.9835214,37.2826414
Dniprorudne,47.3897789,35.0027623
Volochysk,49.5357074,26.2125036
Nadvirna,48.6335887,24.5684038
Dolyna,48.9735775,23.980418
Stebnyk,49.29871335,23.5561269213834
Vovchansk,50.2805047,36.9452503
Krasyliv,49.6550248,26.9732359
Piatykhatky,48.4124318,33.7016613
Reni,52.2797707,7.4373615
Bakhmach,51.18015,32.81444
Derhachi,50.1075564,36.1208299
Vatutine,49.0172494,31.0618502
Kalynivka,48.392353,32.366524
Balta,44.8867,22.6360596041353
Zvenyhorodka,49.0767158,30.96138
Zuhres,48.01719715,38.2784678113801
Skadovsk,46.1203932,32.910339
Svatove,49.4150599,38.1551287
Shpola,49.0131743,31.3932061
Novoukrainka,50.513676,24.093519
Korsun-Shevchenkivskyi,49.418037,31.2556741
Lutuhyne,48.4008342,39.1981259
Bilohirsk,45.0584385,34.594959
Dolynska,48.11634,32.76363
Iziaslav,50.1194691,26.8207625
Bilopillia,51.14667615,34.2970023790996
Bohodukhiv,50.1602639,35.521732
Skvyra,49.7336928,29.6626664
Karlivka,48.44599285,32.0617095144848
Orikhiv,47.5691902,35.7789871
Bilozerske,48.53699585,37.0581234528711
Zolote,48.6901104,38.5121584
Yunokomunarivsk,48.2213624,38.2875306
Pidhorodne,48.5681471,35.1013002
