index,city,lat,long
445,Dobromyl,49.5685897,22.7880041893302
446,Rudky,49.6477963,23.4872537198048
447,Khyriv,49.5313137,22.8520690679889
448,Skalat,49.42980555,25.9722437696291
450,Bibrka,49.6375183,24.2973288
451,Novyi Kalyniv,49.55894125,23.3047973744175
452,Hlyniany,49.8220371,24.5165092
453,Pidhaitsi,49.2680238,25.1361578
454,Baturyn,51.32744,32.89238
455,Belz,47.7584953,27.9113897
456,Ustyluh,50.8622192,24.1505139
457,Hertsa,48.1502154,26.2585431
458,Berestechko,50.3585756,25.1209852
459,Uhniv,50.367231,23.7470971
460,Chernobyl,51.2705259,30.2194322
461,Prypiat,51.4061237,30.0571098
